This is also our flagship model with universal acceptability. This model is suitable for large sized shops and rooms. It is fitted with 15” Exhaust Fanand due to its unique design can easily cool upto 800 sq. feet area. The electricity consumption is only180 watt and has an inbuilt water tank of 140litres capacity. The air throw distance is upto 20’.

T E C H N I C A L   S P E C I F I C A T I O N

 

Motor RPM	1400 RPM
Pump	Medium
Cooling Area*	800 sq. ft.
Air Delivery	4300 m3 / hr
Electrical	230v / 50 hz
Wattage	180 watt
Max. Current	0.78 Amp.
Exhaust / Kit	Exhaust
Fan Diameter	15″
Water Capacity	140 Ltr.
Cooling Media	Wood Wool
Dimensions of Product (mm)	L 838.2 x W 736.6 x H 1181.1
Weight of Product	29 kg.
