This is also our flagship model with universal acceptability. This model is suitable for large sized shops and rooms. It is fitted with 15″ Exhaust Fan and due to its unique design can easily cool upto 550 sq. feet area. The electricity Consumption is only 180 watts and has an inbuilt water tank of 70 Litres capacity.

 

T E C H N I C A L   S P E C I F I C A T I O N

 

Motor RPM	1400 RPM
Pump	Medium
Cooling Area*	550 sq. ft.
Air Delivery	3890 m3 / hr
Electrical	230v / 50 hz
Wattage	180 watt
Max. Current	0.78 Amp.
Exhaust / Kit	Exhaust
Fan Diameter	15″
Water Capacity	70 Ltr.
Cooling Media	Honey Comb Pad / Wood Wool
Dimensions of Product (mm)	L 580 x W 660 x H 1250
Weight of Product	25 kg.
