This model is suitable for area upto 900 sq. feet. It is fitted with 18” Exhaust Fanand has an inbuilt water tank of 150litres capacity. The air throw distance is upto 25’ and Air Delivery of 6000m3/hr. The cooling media is Woodwool. The weight of the cooler is only 37 kgs which makes it very convenient to shift from one place to another.

 

T E C H N I C A L   S P E C I F I C A T I O N

 

Motor RPM	1400 RPM
Pump	High
Cooling Area*	900 sq. ft.
Air Delivery	6000 m3 / hr
Electrical	230v / 50 hz
Wattage	370 watt
Max. Current	1.6 Amp.
Exhaust / Kit	Exhaust
Fan Diameter	18″
Water Capacity	150 Ltr.
Cooling Media	Wood Wool
Dimensions of Product (mm)	L 762 x W 787.4 x H 1295.4
Weight of Product	37 kg.
