This model is one of our latest offering to the market.Bearing a sleek design it has been developed keeping in view small rooms especially flats where the room area is less than 500 sq. feet.It is fitted with 12” Exhaust Fanand easily cools upto 450 sq. feet area. The electricity consumption is only 115 watt and has an inbuilt water tank of 50litres capacity. This cooler can easily be moved from one place to another without any spilling of water.

 

T E C H N I C A L   S P E C I F I C A T I O N

 

Motor RPM	1400 RPM
Pump	Medium
Cooling Area*	450 sq. ft.
Air Delivery	3100 m3 / hr
Electrical	230v / 50 hz
Wattage	115 watt
Max. Current	0.5 Amp.
Exhaust / Kit	Exhaust
Fan Diameter	12″
Water Capacity	50 Ltr.
Cooling Media	Wood Wool
Dimensions of Product (mm)	L 596.9 x W 508 x H 1041.4
Weight of Product	21.5 kg.
