This model 6’ in size is also suitable for large sized rooms, shops and halls. In this model Big (Jumbo) size pump is fitted for proper and continuous supply of water on the pads. Apart from it there is a 18” Exhaust Fanand a separate water tank with 200 ltrs. capacity. It can easily cool upto 1400 sq. feet area and is fitted with woodwool and galvanized coated jali. It can throw air upto 25’ and has an Air Delivery of 7700m3/hr.

 

T E C H N I C A L   S P E C I F I C A T I O N

 

Motor RPM	1400 RPM
Pump	Big (Jumbo)
Cooling Area*	1400 sq. ft.
Air Delivery	7700 m3 / hr
Electrical	230v / 50 hz
Wattage	390 watt
Max. Current	1.68  Amp.
Exhaust / Kit	Exhaust
Fan Diameter	18″
Water Capacity	200 Ltr.
Cooling Media	Wood Wool with Galvanised Coated Jali
Dimensions of Product (mm)	L 863.6 x W 838.2 x H 1790.7
Weight of Product	70 kg.
