For big sized rooms, shops and halls we have introduced this model this year. It is fitted with 18” Exhaust Fanand has a separate water tank with 200 ltrs. capacity. It can easily cool upto 1350 sq. feet area and is fitted with woodwool and galvanized coated jali. It can throw air upto 25’ and has an Air Delivery of 7500m3/hr.

 

T E C H N I C A L   S P E C I F I C A T I O N

 

Motor RPM	1400 RPM
Pump	Big
Cooling Area*	1350 sq. ft.
Air Delivery	7500 m3 / hr
Electrical	230v / 50 hz
Wattage	390 watt
Max. Current	1.7  Amp.
Exhaust / Kit	Exhaust
Fan Diameter	18″
Water Capacity	200 Ltr.
Cooling Media	Wood Wool with Galvanised Coated Jali
Dimensions of Product (mm)	L 787.4 x W 838.2 x H 1574.8
Weight of Product	72 kg.
